line_number,subject_ids,image_number,user_name,workflow_id,workflow_version,classification_id,created_at,elasped_time,image_size,first_task,H palm,flowering,leafless
11640,4989745,20161007_Zone2_S1_039,Visitor,3130,1.13,23153238,2016-12-12 09:08:55 UTC,0:05:53,"[800, 600]",Yes,[],[],"[[111, 269, 130, ""l""]]"
11641,4993182,20161004_Zone6_S2_024,rayperry,3130,1.13,23154179,2016-12-12 09:43:14 UTC,0:00:19,"[1100, 825]",No,[],[],[]
11642,4982516,20161003_Zone4_S1_194,rayperry,3130,1.13,23155127,2016-12-12 10:24:00 UTC,0:04:21,"[2000, 1500]",Yes,"[[490, 1032, 89, ""h""]]",[],"[[881, 581, 345, ""l""]]"
11643,4988288,20161006_Zone3_S3_0736,mrniaboc,3130,1.13,23156532,2016-12-12 11:17:19 UTC,0:01:04,"[1995, 1500]",Yes,"[[717, 327, 105, ""h""], [1036, 802, 136, ""h""], [438, 948, 179, ""h""], [224, 1288, 110, ""h""], [1963, 1116, 108, ""h""]]",[],"[[845, 1068, 429, ""l""], [1337, 332, 545, ""l""]]"
11644,4992043,20161006_Zone5_S2_099,QI2e5a0353,3130,1.13,23157379,2016-12-12 11:48:51 UTC,0:03:06,"[2000, 1500]",Yes,[],"[[1493, 1364, 212, ""f""]]",[]
11645,4984034,20161003_Zone4_S3_212,QI2e5a0353,3130,1.13,23157405,2016-12-12 11:49:27 UTC,0:00:34,"[1995, 1500]",No,[],[],[]
11646,4990726,20161007_Zone2_S4_007,QI2e5a0353,3130,1.13,23157442,2016-12-12 11:50:21 UTC,0:00:48,"[1060, 795]",Yes,[],"[[428, -49, 205, ""f""], [719, 67, 51, ""f""]]","[[298, 778, 95, ""l""], [988, 726, 64, ""l""]]"
11647,4990298,20161007_Zone2_S3_027,QI2e5a0353,3130,1.13,23157467,2016-12-12 11:51:24 UTC,0:00:57,"[998, 750]",Yes,"[[803, 613, 65, ""h""]]",[],[]
11648,4993748,20161004_Zone6_S4_024,QI2e5a0353,3130,1.13,23157479,2016-12-12 11:51:53 UTC,0:00:28,"[1200, 900]",Yes,[],[],"[[577, 497, 178, ""l""], [1058, 670, 158, ""l""]]"
11649,4989550,20161007_Zone1_S3_084,QI2e5a0353,3130,1.13,23157499,2016-12-12 11:52:20 UTC,0:00:27,"[898, 675]",Yes,[],"[[626, 527, 151, ""f""]]",[]
11650,4989278,20161007_Zone1_S1_052,QI2e5a0353,3130,1.13,23157516,2016-12-12 11:52:45 UTC,0:00:24,"[900, 675]",Yes,[],[],"[[720, 550, 122, ""l""], [41, 315, 63, ""l""]]"
11651,4993150,20161004_Zone6_S2_006,QI2e5a0353,3130,1.13,23157536,2016-12-12 11:53:16 UTC,0:00:31,"[1100, 825]",Yes,"[[543, 612, 62, ""h""]]",[],[]
11652,4990916,20161007_Zone2_S4_103,QI2e5a0353,3130,1.13,23157571,2016-12-12 11:53:58 UTC,0:00:41,"[1060, 795]",Yes,"[[572, 713, 55, ""h""]]",[],"[[593, 817, 181, ""l""], [83, 439, 275, ""l""]]"
11653,4991425,20161006_Zone5_S1_024,QI2e5a0353,3130,1.13,23157596,2016-12-12 11:54:28 UTC,0:00:29,"[2000, 1500]",Yes,"[[351, 1047, 152, ""h""]]",[],"[[1475, 734, 198, ""l""]]"
11654,4983631,20161003_Zone4_S3_009,QI2e5a0353,3130,1.13,23157617,2016-12-12 11:54:57 UTC,0:00:28,"[1995, 1500]",Yes,[],"[[1428, 636, 324, ""f""]]","[[634, 703, 142, ""l""]]"
11655,4992788,20161006_Zone5_S4_030,QI2e5a0353,3130,1.13,23157625,2016-12-12 11:55:19 UTC,0:00:21,"[2000, 1500]",Yes,"[[980, 44, 89, ""h""]]",[],[]
11656,4989479,20161007_Zone1_S3_013,QI2e5a0353,3130,1.13,23157640,2016-12-12 11:55:41 UTC,0:00:22,"[898, 675]",Yes,[],"[[98, 289, 96, ""f""], [819, 200, 105, ""f""]]",[]
11657,4984997,20161006_Zone3_S1_0027,QI2e5a0353,3130,1.13,23157651,2016-12-12 11:55:54 UTC,0:00:14,"[2000, 1500]",No,[],[],[]
11658,4982877,20161003_Zone4_S2_013,QI2e5a0353,3130,1.13,23157668,2016-12-12 11:56:26 UTC,0:00:31,"[2000, 1500]",Yes,[],"[[1596, 869, 421, ""f""], [826, 391, 141, ""f""]]","[[959, 952, 110, ""l""]]"
11659,4993380,20161004_Zone6_S2_123,QI2e5a0353,3130,1.13,23157683,2016-12-12 11:56:54 UTC,0:00:27,"[1100, 825]",Yes,[],[],"[[534, 238, 91, ""l""], [828, 600, 39, ""l""]]"
11660,4984463,20161003_Zone4_S4_065,QI2e5a0353,3130,1.13,23157703,2016-12-12 11:57:26 UTC,0:00:31,"[2000, 1500]",Yes,"[[1612, 721, 176, ""h""], [1072, 1099, 339, ""h""]]",[],[]
11661,4991511,20161006_Zone5_S1_063,QI2e5a0353,3130,1.13,23157728,2016-12-12 11:58:06 UTC,0:00:39,"[2000, 1500]",Yes,"[[1830, 799, 113, ""h""]]",[],"[[1498, 503, 187, ""l""]]"
11662,4990376,20161007_Zone2_S3_089,QI2e5a0353,3130,1.13,23157737,2016-12-12 11:58:25 UTC,0:00:18,"[998, 750]",Yes,"[[275, 73, 91, ""h""]]",[],[]
11663,4988515,20161006_Zone3_S3_0833,markbowler,3130,1.13,23159677,2016-12-12 13:09:51 UTC,0:02:02,"[1995, 1500]",Yes,"[[1312, 364, 94, ""h""], [1426, 466, 64, ""h""], [1647, 648, 78, ""h""], [1634, 978, 82, ""h""], [586, 1168, 35, ""h""], [484, 150, 37, ""h""], [559, 558, 26, ""h""], [1357, 1076, 36, ""h""]]",[],"[[1277, 699, 184, ""l""], [1934, 62, 84, ""l""], [1708, 232, 62, ""l""], [1945, 1464, 81, ""l""]]"
11664,4992702,20161006_Zone5_S3_197,markbowler,3130,1.13,23159740,2016-12-12 13:11:47 UTC,0:01:49,"[1995, 1500]",Yes,[],"[[1704, 989, 306, ""f""]]","[[447, 1231, 80, ""l""]]"
11665,4985790,20161006_Zone3_S2_0338,markbowler,3130,1.13,23159751,2016-12-12 13:12:07 UTC,0:00:18,"[2000, 1500]",Yes,[],[],[]
11666,4993043,20161004_Zone6_S1_054,Ryman,3130,1.13,23160694,2016-12-12 13:36:11 UTC,0:03:29,"[1300, 975]",Yes,[],[],"[[1042, 878, 150, ""l""], [1056, 215, 99, ""l""]]"
11667,4986037,20161006_Zone3_S2_0458,Ryman,3130,1.13,23160738,2016-12-12 13:37:04 UTC,0:00:47,"[2000, 1500]",Yes,[],[],"[[1926, 1040, 507, ""l""]]"
11668,4990618,20161007_Zone2_S3_216,Ryman,3130,1.13,23160759,2016-12-12 13:37:22 UTC,0:00:18,"[998, 750]",No,[],[],[]
