"","classification_id","user_name","user_id","user_ip","workflow_id","workflow_name","workflow_version","created_at","gold_standard","expert","metadata","annotations","subject_data","subject_ids"
"1",23276083,"mason_UWI",1065551,"e2ef3c6e26e26092c57c",3054,"edited survey tool",5.7,"2016-12-14 14:29:59 UTC","","","{""session"":""2ca3fe1b954f6baf89aba6fc79692a5234bc00c78241e7e07d7031a6263d5d7f"",""viewport"":{""width"":1600,""height"":789},""started_at"":""2016-12-14T14:29:29.584Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"",""utc_offset"":""21600"",""finished_at"":""2016-12-14T14:29:59.594Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":653,""clientHeight"":465,""naturalWidth"":843,""naturalHeight"":600}]}","[{""task"":""T0"",""value"":[{""choice"":""NTHNGHR"",""answers"":{},""filters"":{}}]},{""task"":""T1"",""task_label"":""Click 'WOW!' if this is an exceptional photo"",""value"":null}]","{""4620331"":{""retired"":{""id"":3162219,""workflow_id"":3054,""classifications_count"":15,""created_at"":""2016-12-14T14:29:59.897Z"",""updated_at"":""2016-12-18T01:25:02.266Z"",""retired_at"":""2016-12-18T01:25:02.248Z"",""subject_id"":4620331,""retirement_reason"":null},""id"":1764,""file_path"":""Z:/TransectTrailCamPics/WI15//DPT/D02-SCP1-WI15/D02-SCP1-WI15 (428).JPG"",""image_name"":""D02-SCP1-WI15 (428).JPG""}}",4620331
"2",23276089,"mason_UWI",1065551,"e2ef3c6e26e26092c57c",3054,"edited survey tool",5.7,"2016-12-14 14:30:11 UTC","","","{""session"":""2ca3fe1b954f6baf89aba6fc79692a5234bc00c78241e7e07d7031a6263d5d7f"",""viewport"":{""width"":1600,""height"":789},""started_at"":""2016-12-14T14:29:59.594Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"",""utc_offset"":""21600"",""finished_at"":""2016-12-14T14:30:10.671Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":600,""naturalWidth"":843,""naturalHeight"":600}]}","[{""task"":""T0"",""value"":[{""choice"":""MS"",""answers"":{""HWMN"":""1""},""filters"":{}}]},{""task"":""T1"",""task_label"":""Click 'WOW!' if this is an exceptional photo"",""value"":null}]","{""3492795"":{""retired"":{""id"":3162220,""workflow_id"":3054,""classifications_count"":36,""created_at"":""2016-12-14T14:30:11.359Z"",""updated_at"":""2016-12-21T14:30:32.003Z"",""retired_at"":""2016-12-21T14:30:31.988Z"",""subject_id"":3492795,""retirement_reason"":null},""id"":286,""#label"":""Mouse"",""image_name"":""R08-PAP1-WI12 (621).JPG"",""image_path"":""C:/gold/g2/R08-PAP1-WI12 (621).JPG""}}",3492795
"3",23276100,"mason_UWI",1065551,"e2ef3c6e26e26092c57c",3054,"edited survey tool",5.7,"2016-12-14 14:30:17 UTC","","","{""session"":""2ca3fe1b954f6baf89aba6fc79692a5234bc00c78241e7e07d7031a6263d5d7f"",""viewport"":{""width"":1600,""height"":789},""started_at"":""2016-12-14T14:30:10.671Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"",""utc_offset"":""21600"",""finished_at"":""2016-12-14T14:30:17.383Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":600,""naturalWidth"":843,""naturalHeight"":600}]}","[{""task"":""T0"",""value"":[{""choice"":""NTHNGHR"",""answers"":{},""filters"":{}}]},{""task"":""T1"",""task_label"":""Click 'WOW!' if this is an exceptional photo"",""value"":null}]","{""4637517"":{""retired"":{""id"":3162222,""workflow_id"":3054,""classifications_count"":15,""created_at"":""2016-12-14T14:30:19.132Z"",""updated_at"":""2016-12-18T16:14:41.352Z"",""retired_at"":""2016-12-18T16:14:41.307Z"",""subject_id"":4637517,""retirement_reason"":null},""id"":18378,""file_path"":""Z:/TransectTrailCamPics/WI15//RST/R10-WCP3-WI15/R10-WCP3-WI15 (1729).JPG"",""image_name"":""R10-WCP3-WI15 (1729).JPG""}}",4637517
"4",23276102,"mason_UWI",1065551,"e2ef3c6e26e26092c57c",3054,"edited survey tool",5.7,"2016-12-14 14:30:21 UTC","","","{""session"":""2ca3fe1b954f6baf89aba6fc79692a5234bc00c78241e7e07d7031a6263d5d7f"",""viewport"":{""width"":1600,""height"":789},""started_at"":""2016-12-14T14:30:17.383Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"",""utc_offset"":""21600"",""finished_at"":""2016-12-14T14:30:21.632Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":600,""naturalWidth"":843,""naturalHeight"":600}]}","[{""task"":""T0"",""value"":[{""choice"":""NTHNGHR"",""answers"":{},""filters"":{}}]},{""task"":""T1"",""task_label"":""Click 'WOW!' if this is an exceptional photo"",""value"":null}]","{""4624381"":{""retired"":{""id"":3162223,""workflow_id"":3054,""classifications_count"":121,""created_at"":""2016-12-14T14:30:22.126Z"",""updated_at"":""2016-12-19T18:46:26.416Z"",""retired_at"":""2016-12-19T18:46:26.413Z"",""subject_id"":4624381,""retirement_reason"":null},""id"":5650,""file_path"":""Z:/TransectTrailCamPics/WI15//DPT/D04-RDP1-WI15/D04-RDP1-WI15 (432).JPG"",""image_name"":""D04-RDP1-WI15 (432).JPG""}}",4624381
"5",23276105,"mason_UWI",1065551,"e2ef3c6e26e26092c57c",3054,"edited survey tool",5.7,"2016-12-14 14:30:26 UTC","","","{""session"":""2ca3fe1b954f6baf89aba6fc79692a5234bc00c78241e7e07d7031a6263d5d7f"",""viewport"":{""width"":1600,""height"":789},""started_at"":""2016-12-14T14:30:21.632Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"",""utc_offset"":""21600"",""finished_at"":""2016-12-14T14:30:26.347Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":600,""naturalWidth"":843,""naturalHeight"":600}]}","[{""task"":""T0"",""value"":[{""choice"":""NTHNGHR"",""answers"":{},""filters"":{}}]},{""task"":""T1"",""task_label"":""Click 'WOW!' if this is an exceptional photo"",""value"":null}]","{""4638795"":{""retired"":{""id"":3162224,""workflow_id"":3054,""classifications_count"":15,""created_at"":""2016-12-14T14:30:28.510Z"",""updated_at"":""2016-12-20T01:09:42.120Z"",""retired_at"":""2016-12-20T01:09:42.099Z"",""subject_id"":4638795,""retirement_reason"":null},""id"":19657,""file_path"":""Z:/TransectTrailCamPics/WI15//RST/R10-WCP3-WI15/R10-WCP3-WI15 (907).JPG"",""image_name"":""R10-WCP3-WI15 (907).JPG""}}",4638795
"6",23276110,"mason_UWI",1065551,"e2ef3c6e26e26092c57c",3054,"edited survey tool",5.7,"2016-12-14 14:30:30 UTC","","","{""session"":""2ca3fe1b954f6baf89aba6fc79692a5234bc00c78241e7e07d7031a6263d5d7f"",""viewport"":{""width"":1600,""height"":789},""started_at"":""2016-12-14T14:30:26.347Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"",""utc_offset"":""21600"",""finished_at"":""2016-12-14T14:30:29.949Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":600,""naturalWidth"":843,""naturalHeight"":600}]}","[{""task"":""T0"",""value"":[{""choice"":""NTHNGHR"",""answers"":{},""filters"":{}}]},{""task"":""T1"",""task_label"":""Click 'WOW!' if this is an exceptional photo"",""value"":null}]","{""4624289"":{""retired"":{""id"":3162226,""workflow_id"":3054,""classifications_count"":15,""created_at"":""2016-12-14T14:30:30.416Z"",""updated_at"":""2016-12-17T00:05:21.691Z"",""retired_at"":""2016-12-17T00:05:21.678Z"",""subject_id"":4624289,""retirement_reason"":null},""id"":5558,""file_path"":""Z:/TransectTrailCamPics/WI15//DPT/D04-RDP1-WI15/D04-RDP1-WI15 (35).JPG"",""image_name"":""D04-RDP1-WI15 (35).JPG""}}",4624289
"7",23276176,"mason_UWI",1065551,"e2ef3c6e26e26092c57c",3054,"edited survey tool",5.7,"2016-12-14 14:31:45 UTC","","","{""session"":""2ca3fe1b954f6baf89aba6fc79692a5234bc00c78241e7e07d7031a6263d5d7f"",""viewport"":{""width"":1600,""height"":789},""started_at"":""2016-12-14T14:30:29.949Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"",""utc_offset"":""21600"",""finished_at"":""2016-12-14T14:31:45.152Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":600,""naturalWidth"":843,""naturalHeight"":600}]}","[{""task"":""T0"",""value"":[{""choice"":""SQRRLGR"",""answers"":{""HWMN"":""1""},""filters"":{}}]},{""task"":""T1"",""task_label"":""Click 'WOW!' if this is an exceptional photo"",""value"":""WOW!""}]","{""4631354"":{""retired"":{""id"":3162245,""workflow_id"":3054,""classifications_count"":15,""created_at"":""2016-12-14T14:31:45.550Z"",""updated_at"":""2016-12-18T18:53:06.332Z"",""retired_at"":""2016-12-18T18:53:06.329Z"",""subject_id"":4631354,""retirement_reason"":null},""id"":12623,""file_path"":""Z:/TransectTrailCamPics/WI15//RST/R03-AUP1-WI15/R03-AUP1-WI15 (31).JPG"",""image_name"":""R03-AUP1-WI15 (31).JPG""}}",4631354
"8",23276560,"jangugliotti",1173173,"7747c26d67406ac9dd52",3054,"edited survey tool",5.7,"2016-12-14 14:39:36 UTC","","","{""session"":""2db1adf4327b92271d0b86cdca1b7899d616f31a23599d59f9af0bf29695ceed"",""viewport"":{""width"":1680,""height"":838},""started_at"":""2016-12-14T14:39:20.447Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; InfoPath.3; rv:11.0) like Gecko"",""utc_offset"":""18000"",""finished_at"":""2016-12-14T14:39:36.131Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":551,""clientHeight"":392,""naturalWidth"":843,""naturalHeight"":600}]}","[{""task"":""T0"",""value"":[{""choice"":""NTHNGHR"",""answers"":{},""filters"":{}}]},{""task"":""T1"",""task_label"":""Click 'WOW!' if this is an exceptional photo"",""value"":null}]","{""4644141"":{""retired"":{""id"":3162398,""workflow_id"":3054,""classifications_count"":15,""created_at"":""2016-12-14T14:39:36.526Z"",""updated_at"":""2016-12-16T17:19:50.770Z"",""retired_at"":""2016-12-16T17:19:50.765Z"",""subject_id"":4644141,""retirement_reason"":null},""id"":24486,""file_path"":""Z:/TransectTrailCamPics/WI15//SCT/S04-HAP1-WI15/S04-HAP1-WI15 (644).JPG"",""image_name"":""S04-HAP1-WI15 (644).JPG""}}",4644141
"9",23276574,"jangugliotti",1173173,"7747c26d67406ac9dd52",3054,"edited survey tool",5.7,"2016-12-14 14:39:51 UTC","","","{""session"":""2db1adf4327b92271d0b86cdca1b7899d616f31a23599d59f9af0bf29695ceed"",""viewport"":{""width"":1680,""height"":838},""started_at"":""2016-12-14T14:39:36.136Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; InfoPath.3; rv:11.0) like Gecko"",""utc_offset"":""18000"",""finished_at"":""2016-12-14T14:39:50.818Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":600,""naturalWidth"":843,""naturalHeight"":600}]}","[{""task"":""T0"",""value"":[{""choice"":""NTHNGHR"",""answers"":{},""filters"":{}}]},{""task"":""T1"",""task_label"":""Click 'WOW!' if this is an exceptional photo"",""value"":null}]","{""4637614"":{""retired"":{""id"":3162404,""workflow_id"":3054,""classifications_count"":15,""created_at"":""2016-12-14T14:39:51.198Z"",""updated_at"":""2016-12-22T05:41:06.303Z"",""retired_at"":""2016-12-22T05:41:06.290Z"",""subject_id"":4637614,""retirement_reason"":null},""id"":18475,""file_path"":""Z:/TransectTrailCamPics/WI15//RST/R10-WCP3-WI15/R10-WCP3-WI15 (1816).JPG"",""image_name"":""R10-WCP3-WI15 (1816).JPG""}}",4637614
"10",23276577,"not-logged-in-bb075131aa3f60ee2b0f",NA,"bb075131aa3f60ee2b0f",3054,"edited survey tool",5.7,"2016-12-14 14:39:54 UTC","","","{""session"":""7a154e6de56f666718d49018f745f4ce54824c21f2f88158332304459b4a5380"",""viewport"":{""width"":1280,""height"":918},""started_at"":""2016-12-14T14:39:13.440Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36"",""utc_offset"":""21600"",""finished_at"":""2016-12-14T14:39:54.704Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":674,""clientHeight"":479,""naturalWidth"":843,""naturalHeight"":600}]}","[{""task"":""T0"",""value"":[{""choice"":""SQRRLGR"",""answers"":{""HWMN"":""1""},""filters"":{}}]},{""task"":""T1"",""task_label"":""Click 'WOW!' if this is an exceptional photo"",""value"":null}]","{""4622495"":{""retired"":{""id"":3162406,""workflow_id"":3054,""classifications_count"":15,""created_at"":""2016-12-14T14:39:54.879Z"",""updated_at"":""2016-12-16T03:58:47.788Z"",""retired_at"":""2016-12-16T03:58:47.771Z"",""subject_id"":4622495,""retirement_reason"":null},""id"":3928,""file_path"":""Z:/TransectTrailCamPics/WI15//DPT/D03-MFP2-WI15/D03-MFP2-WI15 (73).JPG"",""image_name"":""D03-MFP2-WI15 (73).JPG""}}",4622495
