"classification_id","user_name","user_id","user_ip","workflow_id","workflow_name","workflow_version","created_at","gold_standard","expert","metadata","annotations","subject_data","subject_ids"
13290940,"sandiegozooglobal",1475404,"79693b580bb518e6385b",2030,"What types of wildlife appear?",27.36,"2016-06-15 00:51:21 UTC",NA,NA,"{""session"":""276387a9e773137fb2b7af20a7ee829d03e54f9f528ab2bab32d4fc22f2bf24d"",""viewport"":{""width"":1579,""height"":1230},""started_at"":""2016-06-15T00:51:10.969Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"",""utc_offset"":""25200"",""finished_at"":""2016-06-15T00:51:20.702Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":427,""naturalWidth"":640,""naturalHeight"":427}]}","[{""task"":""T0"",""task_label"":""How many giraffes appear in this photo?"",""value"":[""1""]},{""task"":""T1"",""task_label"":""Which other animals appear in the photo?"",""value"":[""Yes""]}]","{""458046"":{""retired"":null,""link"":""https://www.flickr.com/photos/cseeman/16826759250"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""16826759250_fc231f35a0_z.jpg"",""subject_id"":26,""attribution"":""Corey Seeman""}}",458046
13290950,"sandiegozooglobal",1475404,"79693b580bb518e6385b",2030,"What types of wildlife appear?",28.36,"2016-06-15 00:52:16 UTC",NA,NA,"{""session"":""65ca665272c0c85dadd37387a5e58a65e93376ef73e2a4af51949d9badf31a15"",""viewport"":{""width"":1579,""height"":1230},""started_at"":""2016-06-15T00:51:55.777Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"",""utc_offset"":""25200"",""finished_at"":""2016-06-15T00:52:15.613Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":427,""naturalWidth"":640,""naturalHeight"":427}]}","[{""task"":""T0"",""task_label"":""How many giraffes appear in this photo?"",""value"":[""1""]},{""task"":""T1"",""task_label"":""Which other animals appear in the photo?"",""value"":[""Yes""]},{""task"":""T2"",""task_label"":""Draw a rectangle around clear neck patterns on each visible giraffe"",""value"":[{""x"":303.640625,""y"":101,""tool"":0,""frame"":0,""width"":45,""height"":189,""details"":[],""tool_label"":""Rectangle""},{""x"":441.640625,""y"":64,""tool"":0,""frame"":0,""width"":56,""height"":263,""details"":[],""tool_label"":""Rectangle""}]}]","{""458037"":{""retired"":null,""link"":""https://www.flickr.com/photos/chaukar/9806556103"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""9806556103_bb21b3f223_z.jpg"",""subject_id"":17,""attribution"":""Chau kar Man""}}",458037
13323973,"sandiegozooglobal",1475404,"79693b580bb518e6385b",2030,"What types of wildlife appear?",33.37,"2016-06-16 00:39:06 UTC",NA,NA,"{""session"":""3fa31466ea112a115feb39215e87d05a501951ef40bceb6c0710f5302cfe451d"",""viewport"":{""width"":1484,""height"":963},""started_at"":""2016-06-16T00:36:28.681Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"",""utc_offset"":""25200"",""finished_at"":""2016-06-16T00:39:06.499Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":800,""clientHeight"":533,""naturalWidth"":800,""naturalHeight"":533}]}","[{""task"":""T0"",""task_label"":""How many giraffes appear in this photo?"",""value"":[""1""]},{""task"":""T1"",""task_label"":""Which other animals appear in the photo?"",""value"":[""No""]},{""task"":""T2"",""task_label"":""Mark any giraffes with clear neck patterns in each photo."",""value"":[{""x"":289.078125,""y"":186,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Rectangle""}]}]","{""2237605"":{""retired"":null,""Filename"":""IMG_8701.jpg""}}",2237605
13323984,"sandiegozooglobal",1475404,"79693b580bb518e6385b",2030,"What types of wildlife appear?",33.37,"2016-06-16 00:39:32 UTC",NA,NA,"{""session"":""3fa31466ea112a115feb39215e87d05a501951ef40bceb6c0710f5302cfe451d"",""viewport"":{""width"":1484,""height"":963},""started_at"":""2016-06-16T00:39:11.873Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"",""utc_offset"":""25200"",""finished_at"":""2016-06-16T00:39:31.968Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":800,""clientHeight"":533,""naturalWidth"":800,""naturalHeight"":533}]}","[{""task"":""T0"",""task_label"":""How many giraffes appear in this photo?"",""value"":[""4""]},{""task"":""T1"",""task_label"":""Which other animals appear in the photo?"",""value"":[""No""]},{""task"":""T2"",""task_label"":""Mark any giraffes with clear neck patterns in each photo."",""value"":[{""x"":550.078125,""y"":188,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Rectangle""},{""x"":321.078125,""y"":116,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Rectangle""}]}]","{""2237602"":{""retired"":null,""Filename"":""IMG_8551.jpg""}}",2237602
13323989,"sandiegozooglobal",1475404,"79693b580bb518e6385b",2030,"What types of wildlife appear?",33.37,"2016-06-16 00:39:56 UTC",NA,NA,"{""session"":""3fa31466ea112a115feb39215e87d05a501951ef40bceb6c0710f5302cfe451d"",""viewport"":{""width"":1484,""height"":963},""started_at"":""2016-06-16T00:39:34.349Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"",""utc_offset"":""25200"",""finished_at"":""2016-06-16T00:39:55.937Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":800,""clientHeight"":533,""naturalWidth"":800,""naturalHeight"":533}]}","[{""task"":""T0"",""task_label"":""How many giraffes appear in this photo?"",""value"":[""8""]},{""task"":""T1"",""task_label"":""Which other animals appear in the photo?"",""value"":[""No""]},{""task"":""T2"",""task_label"":""Mark any giraffes with clear neck patterns in each photo."",""value"":[{""x"":552.078125,""y"":311,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Rectangle""}]}]","{""2237598"":{""retired"":null,""Filename"":""IMG_8520.jpg""}}",2237598
13532629,"sandiegozooglobal",1475404,"79693b580bb518e6385b",2030,"What types of wildlife appear?",33.38,"2016-06-23 17:36:46 UTC",NA,NA,"{""session"":""8c967160a8aaef64521e985d617fef97aa5b121872856f3213b4cfef568fb9cd"",""viewport"":{""width"":1762,""height"":1169},""started_at"":""2016-06-23T17:36:28.827Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"",""utc_offset"":""25200"",""finished_at"":""2016-06-23T17:36:46.520Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":800,""clientHeight"":533,""naturalWidth"":800,""naturalHeight"":533}]}","[{""task"":""T0"",""task_label"":""How many giraffes appear in this photo?"",""value"":[""1""]},{""task"":""T1"",""task_label"":""Do other animals appear in the photo?"",""value"":[""No""]},{""task"":""T2"",""task_label"":""Mark any giraffes with clear neck patterns in each photo."",""value"":[{""x"":349.40625,""y"":204,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Rectangle""}]}]","{""2237586"":{""retired"":null,""Filename"":""IMG_8333.jpg""}}",2237586
13542004,"sandiegozooglobal",1475404,"79693b580bb518e6385b",2030,"What types of wildlife appear?",33.38,"2016-06-23 21:43:34 UTC",NA,NA,"{""session"":""fbe0decd7c1d4fd6219533fdd299f52e05f7b41566ba47c417ee1b540fa05afb"",""viewport"":{""width"":1432,""height"":815},""started_at"":""2016-06-23T21:42:24.371Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"",""utc_offset"":""25200"",""finished_at"":""2016-06-23T21:43:34.541Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":800,""clientHeight"":533,""naturalWidth"":800,""naturalHeight"":533}]}","[{""task"":""T0"",""task_label"":""How many giraffes appear in this photo?"",""value"":[""2""]},{""task"":""T1"",""task_label"":""Do other animals appear in the photo?"",""value"":[""No""]},{""task"":""T2"",""task_label"":""Mark any giraffes with clear neck patterns in each photo."",""value"":[{""x"":447.109375,""y"":266,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Rectangle""}]}]","{""2237571"":{""retired"":null,""Filename"":""IMG_8198.jpg""}}",2237571
13662262,"sandiegozooglobal",1475404,"fa871a3b82a58383d37b",2030,"What types of wildlife appear?",33.38,"2016-06-30 16:58:35 UTC",NA,NA,"{""session"":""23460403492433a632b66cdffecb2dfbc0b4b39702a32bda2e10be2e0a66e157"",""viewport"":{""width"":1280,""height"":935},""started_at"":""2016-06-30T16:58:09.381Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"",""utc_offset"":""25200"",""finished_at"":""2016-06-30T16:58:35.153Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":800,""clientHeight"":533,""naturalWidth"":800,""naturalHeight"":533}]}","[{""task"":""T0"",""task_label"":""How many giraffes appear in this photo?"",""value"":[""1""]},{""task"":""T1"",""task_label"":""Do other animals appear in the photo?"",""value"":[""No""]},{""task"":""T2"",""task_label"":""Mark any giraffes with clear neck patterns in each photo."",""value"":[{""x"":493.8086088555603,""y"":272.71519434628976,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Rectangle""}]}]","{""2237628"":{""retired"":null,""Filename"":""IMG_8893.jpg""}}",2237628
13666645,"sandiegozooglobal",1475404,"fa871a3b82a58383d37b",2030,"What types of wildlife appear?",33.38,"2016-06-30 21:07:30 UTC",NA,NA,"{""session"":""31a7e405dcb20787f2684c154f0b056f4cc53349588d0408556d3ea4d24b1a6d"",""viewport"":{""width"":1257,""height"":815},""started_at"":""2016-06-30T21:05:28.374Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"",""utc_offset"":""25200"",""finished_at"":""2016-06-30T21:07:29.910Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":800,""clientHeight"":533,""naturalWidth"":800,""naturalHeight"":533}]}","[{""task"":""T0"",""task_label"":""How many giraffes appear in this photo?"",""value"":[""1""]},{""task"":""T1"",""task_label"":""Do other animals appear in the photo?"",""value"":[""No""]},{""task"":""T2"",""task_label"":""Mark any giraffes with clear neck patterns in each photo."",""value"":[{""x"":366.8893911119467,""y"":273.41329591928115,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Rectangle""}]}]","{""2237630"":{""retired"":null,""Filename"":""IMG_8904.jpg""}}",2237630
17800428,"not-logged-in-79693b580bb518e6385b",NA,"79693b580bb518e6385b",2030,"What types of wildlife appear?",34.38,"2016-09-22 15:56:47 UTC",NA,NA,"{""session"":""fd7442f97f73e28beb7e28c6261a5dc9eb8008b02ff012a249eab99f7180270b"",""viewport"":{""width"":1579,""height"":1166},""started_at"":""2016-09-22T15:56:19.880Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:48.0) Gecko/20100101 Firefox/48.0"",""utc_offset"":""25200"",""finished_at"":""2016-09-22T15:56:45.822Z"",""live_project"":false,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":800,""clientHeight"":533,""naturalWidth"":800,""naturalHeight"":533}]}","[{""task"":""T0"",""task_label"":""How many giraffes appear in this photo?"",""value"":[""2""]},{""task"":""T1"",""task_label"":""Do other animals appear in the photo?"",""value"":[""No""]},{""task"":""T2"",""task_label"":""Mark any giraffes with clear neck patterns in each photo."",""value"":[{""x"":388.5,""y"":311,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Rectangle""},{""x"":275.5,""y"":243,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Rectangle""}]}]","{""2237617"":{""retired"":null,""Filename"":""IMG_8860.jpg""}}",2237617
