"classification_id","user_name","user_id","user_ip","workflow_id","workflow_name","workflow_version","created_at","gold_standard","expert","metadata","annotations","subject_data","subject_ids"
24269156,"hmboone",1546699,"04ab0e5c08da44480286",2276,"Initial Workflow",463.55,"2017-01-06 20:36:55 UTC","true","expert","{""session"":""6f7600b534c7984bd1622a15f82e69f4d7ef4bf2c25501d958f50be8638a8e1f"",""viewport"":{""width"":360,""height"":616},""started_at"":""2017-01-06T20:36:21.468Z"",""user_agent"":""Mozilla/5.0 (Linux; Android 6.0.1; SM-G920V Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2017-01-06T20:36:54.398Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":309,""clientHeight"":232,""naturalWidth"":2048,""naturalHeight"":1536},{""clientWidth"":309,""clientHeight"":232,""naturalWidth"":2048,""naturalHeight"":1536},{""clientWidth"":309,""clientHeight"":232,""naturalWidth"":2048,""naturalHeight"":1536}]}","[{""task"":""T3"",""value"":[{""choice"":""COTTONTAILRABBIT"",""answers"":{""HOWMANYANIMALSDOYOUSEE"":""1""},""filters"":{}}]},{""task"":""T2"",""task_label"":""What are the weather conditions in this image?"",""value"":""Snow or Snow-Covered""}]","{""4597474"":{""retired"":{""id"":3002885,""workflow_id"":2276,""classifications_count"":17,""created_at"":""2016-11-23T00:38:33.282Z"",""updated_at"":""2017-01-10T03:27:13.479Z"",""retired_at"":""2017-01-10T03:27:13.475Z"",""subject_id"":4597474,""retirement_reason"":null},""id"":""20"",""image1"":""W16_SRE8_IMG_0058A.JPG"",""image2"":""W16_SRE8_IMG_0059A.JPG"",""image3"":""W16_SRE8_IMG_0060A.JPG"",""gis_subject_id"":[""{90B6B882-6141-4919-B4F9-011E50725FC4}"",null]}}",4597474
24269194,"hmboone",1546699,"04ab0e5c08da44480286",2276,"Initial Workflow",463.55,"2017-01-06 20:37:20 UTC","true","expert","{""session"":""6f7600b534c7984bd1622a15f82e69f4d7ef4bf2c25501d958f50be8638a8e1f"",""viewport"":{""width"":360,""height"":560},""started_at"":""2017-01-06T20:37:00.410Z"",""user_agent"":""Mozilla/5.0 (Linux; Android 6.0.1; SM-G920V Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2017-01-06T20:37:19.774Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":309,""clientHeight"":232,""naturalWidth"":800,""naturalHeight"":600},{""clientWidth"":309,""clientHeight"":232,""naturalWidth"":800,""naturalHeight"":600},{""clientWidth"":309,""clientHeight"":232,""naturalWidth"":800,""naturalHeight"":600}]}","[{""task"":""T3"",""value"":[{""choice"":""DUCKS"",""answers"":{""HOWMANYANIMALSDOYOUSEE"":""2""},""filters"":{}}]},{""task"":""T2"",""task_label"":""What are the weather conditions in this image?"",""value"":""Flooded""}]","{""4602633"":{""retired"":null,""id"":""325"",""image1"":""W16_SRE12_IMG_0973B.JPG"",""image2"":""W16_SRE12_IMG_0974B.JPG"",""image3"":""W16_SRE12_IMG_0975B.JPG"",""gis_subject_id"":[""{92E5D0B7-4EA6-4E47-A949-842209BD8F56}"",null]}}",4602633
24269260,"hmboone",1546699,"04ab0e5c08da44480286",2276,"Initial Workflow",463.55,"2017-01-06 20:38:21 UTC","true","expert","{""session"":""6f7600b534c7984bd1622a15f82e69f4d7ef4bf2c25501d958f50be8638a8e1f"",""viewport"":{""width"":360,""height"":560},""started_at"":""2017-01-06T20:37:20.822Z"",""user_agent"":""Mozilla/5.0 (Linux; Android 6.0.1; SM-G920V Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2017-01-06T20:38:20.999Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":309,""clientHeight"":232,""naturalWidth"":800,""naturalHeight"":600},{""clientWidth"":309,""clientHeight"":232,""naturalWidth"":800,""naturalHeight"":600},{""clientWidth"":309,""clientHeight"":232,""naturalWidth"":800,""naturalHeight"":600}]}","[{""task"":""T3"",""value"":[{""choice"":""DEER"",""answers"":{""HOWMANYANIMALSDOYOUSEE"":""1""},""filters"":{}}]},{""task"":""T2"",""task_label"":""What are the weather conditions in this image?"",""value"":""Flooded""}]","{""4598988"":{""retired"":{""id"":3026218,""workflow_id"":2276,""classifications_count"":15,""created_at"":""2016-11-25T12:21:43.660Z"",""updated_at"":""2017-06-12T13:35:26.640Z"",""retired_at"":""2017-06-12T13:35:26.625Z"",""subject_id"":4598988,""retirement_reason"":""classification_count""},""id"":""21"",""image1"":""W16_SRE10_IMG_0061B.JPG"",""image2"":""W16_SRE10_IMG_0062B.JPG"",""image3"":""W16_SRE10_IMG_0063B.JPG"",""gis_subject_id"":[""{4ECA43F8-7A17-450C-920A-C7DEA6066971}"",null]}}",4598988
24269334,"hmboone",1546699,"04ab0e5c08da44480286",2276,"Initial Workflow",463.55,"2017-01-06 20:39:31 UTC","true","expert","{""session"":""6f7600b534c7984bd1622a15f82e69f4d7ef4bf2c25501d958f50be8638a8e1f"",""viewport"":{""width"":360,""height"":616},""started_at"":""2017-01-06T20:39:09.226Z"",""user_agent"":""Mozilla/5.0 (Linux; Android 6.0.1; SM-G920V Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2017-01-06T20:39:30.420Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":309,""clientHeight"":232,""naturalWidth"":2048,""naturalHeight"":1536},{""clientWidth"":309,""clientHeight"":232,""naturalWidth"":2048,""naturalHeight"":1536},{""clientWidth"":309,""clientHeight"":232,""naturalWidth"":2048,""naturalHeight"":1536}]}","[{""task"":""T3"",""value"":[{""choice"":""DEER"",""answers"":{""HOWMANYANIMALSDOYOUSEE"":""1""},""filters"":{}}]},{""task"":""T2"",""task_label"":""What are the weather conditions in this image?"",""value"":""Snow or Snow-Covered""}]","{""4595493"":{""retired"":{""id"":2992832,""workflow_id"":2276,""classifications_count"":15,""created_at"":""2016-11-22T15:34:18.276Z"",""updated_at"":""2017-02-20T12:02:42.506Z"",""retired_at"":""2017-02-20T12:02:42.499Z"",""subject_id"":4595493,""retirement_reason"":null},""id"":""545"",""image1"":""W16_SRE5_IMG_1633B.JPG"",""image2"":""W16_SRE5_IMG_1634B.JPG"",""image3"":""W16_SRE5_IMG_1635B.JPG"",""gis_subject_id"":[""{DAD00951-0A9C-4CE4-A607-DA58D541CFEB}"",null]}}",4595493
24269393,"tifcarey",1546648,"fae3dd3790b2cea9cd16",2276,"Initial Workflow",463.55,"2017-01-06 20:40:14 UTC","","","{""session"":""596da34382beb36ad93f8c619fab1f2950d992d628d5162ce1987a83fc4e4904"",""viewport"":{""width"":1920,""height"":950},""started_at"":""2017-01-06T20:16:48.731Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2017-01-06T20:40:13.897Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":800,""clientHeight"":600,""naturalWidth"":800,""naturalHeight"":600},{""clientWidth"":800,""clientHeight"":600,""naturalWidth"":800,""naturalHeight"":600},{""clientWidth"":800,""clientHeight"":600,""naturalWidth"":800,""naturalHeight"":600}]}","[{""task"":""T3"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]},{""task"":""T2"",""task_label"":""What are the weather conditions in this image?"",""value"":""Clear""}]","{""4599840"":{""retired"":{""id"":2999870,""workflow_id"":2276,""classifications_count"":16,""created_at"":""2016-11-22T19:47:41.185Z"",""updated_at"":""2017-01-25T16:02:08.720Z"",""retired_at"":""2017-01-25T16:02:08.703Z"",""subject_id"":4599840,""retirement_reason"":null},""id"":""183"",""image1"":""W16_SRE11_IMG_0547B.JPG"",""image2"":""W16_SRE11_IMG_0548B.JPG"",""image3"":""W16_SRE11_IMG_0549B.JPG"",""gis_subject_id"":[""{F4359D75-8D5E-4E83-8925-5A5E57FDF5CB}"",null]}}",4599840
24269409,"tifcarey",1546648,"fae3dd3790b2cea9cd16",2276,"Initial Workflow",463.55,"2017-01-06 20:40:25 UTC","","","{""session"":""596da34382beb36ad93f8c619fab1f2950d992d628d5162ce1987a83fc4e4904"",""viewport"":{""width"":1920,""height"":950},""started_at"":""2017-01-06T20:40:14.623Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2017-01-06T20:40:25.281Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1140,""clientHeight"":855,""naturalWidth"":2048,""naturalHeight"":1536},{""clientWidth"":1140,""clientHeight"":855,""naturalWidth"":2048,""naturalHeight"":1536},{""clientWidth"":1140,""clientHeight"":855,""naturalWidth"":2048,""naturalHeight"":1536}]}","[{""task"":""T3"",""value"":[{""choice"":""DEER"",""answers"":{""HOWMANYANIMALSDOYOUSEE"":""1""},""filters"":{}}]},{""task"":""T2"",""task_label"":""What are the weather conditions in this image?"",""value"":""Snow or Snow-Covered""}]","{""4595142"":{""retired"":{""id"":2995656,""workflow_id"":2276,""classifications_count"":16,""created_at"":""2016-11-22T17:07:11.543Z"",""updated_at"":""2017-01-14T12:31:08.068Z"",""retired_at"":""2017-01-14T12:31:08.035Z"",""subject_id"":4595142,""retirement_reason"":null},""id"":""286"",""image1"":""W16_SRE5_IMG_0856B.JPG"",""image2"":""W16_SRE5_IMG_0857B.JPG"",""image3"":""W16_SRE5_IMG_0858B.JPG"",""gis_subject_id"":[""{ED81460F-04FA-46F0-8B35-DF9B371EDA13}"",null]}}",4595142
24269423,"tifcarey",1546648,"fae3dd3790b2cea9cd16",2276,"Initial Workflow",463.55,"2017-01-06 20:40:36 UTC","","","{""session"":""596da34382beb36ad93f8c619fab1f2950d992d628d5162ce1987a83fc4e4904"",""viewport"":{""width"":1920,""height"":950},""started_at"":""2017-01-06T20:40:26.290Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2017-01-06T20:40:36.217Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1140,""clientHeight"":855,""naturalWidth"":2048,""naturalHeight"":1536},{""clientWidth"":1140,""clientHeight"":855,""naturalWidth"":2048,""naturalHeight"":1536},{""clientWidth"":1140,""clientHeight"":855,""naturalWidth"":2048,""naturalHeight"":1536}]}","[{""task"":""T3"",""value"":[{""choice"":""DEER"",""answers"":{""HOWMANYANIMALSDOYOUSEE"":""1""},""filters"":{}}]},{""task"":""T2"",""task_label"":""What are the weather conditions in this image?"",""value"":""Snow or Snow-Covered""}]","{""4595601"":{""retired"":{""id"":3002744,""workflow_id"":2276,""classifications_count"":16,""created_at"":""2016-11-23T00:19:27.190Z"",""updated_at"":""2017-02-03T07:16:28.878Z"",""retired_at"":""2017-02-03T07:16:28.855Z"",""subject_id"":4595601,""retirement_reason"":null},""id"":""615"",""image1"":""W16_SRE5_IMG_1843B.JPG"",""image2"":""W16_SRE5_IMG_1844B.JPG"",""image3"":""W16_SRE5_IMG_1845B.JPG"",""gis_subject_id"":[""{D348D7B8-8BE0-404B-A084-3D9460551524}"",null]}}",4595601
24269443,"tifcarey",1546648,"fae3dd3790b2cea9cd16",2276,"Initial Workflow",463.55,"2017-01-06 20:40:51 UTC","","","{""session"":""596da34382beb36ad93f8c619fab1f2950d992d628d5162ce1987a83fc4e4904"",""viewport"":{""width"":1920,""height"":950},""started_at"":""2017-01-06T20:40:36.936Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2017-01-06T20:40:51.475Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":800,""clientHeight"":600,""naturalWidth"":800,""naturalHeight"":600},{""clientWidth"":800,""clientHeight"":600,""naturalWidth"":800,""naturalHeight"":600},{""clientWidth"":800,""clientHeight"":600,""naturalWidth"":800,""naturalHeight"":600}]}","[{""task"":""T3"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]},{""task"":""T2"",""task_label"":""What are the weather conditions in this image?"",""value"":""Clear""}]","{""4593759"":{""retired"":{""id"":2991335,""workflow_id"":2276,""classifications_count"":15,""created_at"":""2016-11-22T14:12:17.102Z"",""updated_at"":""2017-01-18T19:44:12.988Z"",""retired_at"":""2017-01-18T19:44:12.980Z"",""subject_id"":4593759,""retirement_reason"":null},""id"":""140"",""image1"":""W16_SRE2_IMG_0418B.JPG"",""image2"":""W16_SRE2_IMG_0419B.JPG"",""image3"":""W16_SRE2_IMG_0420B.JPG"",""gis_subject_id"":[""{9C29D362-3234-451A-B7A3-E4A6819EAA0A}"",null]}}",4593759
24269459,"tifcarey",1546648,"fae3dd3790b2cea9cd16",2276,"Initial Workflow",463.55,"2017-01-06 20:41:06 UTC","","","{""session"":""596da34382beb36ad93f8c619fab1f2950d992d628d5162ce1987a83fc4e4904"",""viewport"":{""width"":1920,""height"":950},""started_at"":""2017-01-06T20:40:52.585Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2017-01-06T20:41:06.065Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1140,""clientHeight"":855,""naturalWidth"":2048,""naturalHeight"":1536},{""clientWidth"":1140,""clientHeight"":855,""naturalWidth"":2048,""naturalHeight"":1536},{""clientWidth"":1140,""clientHeight"":855,""naturalWidth"":2048,""naturalHeight"":1536}]}","[{""task"":""T3"",""value"":[{""choice"":""RACCOON"",""answers"":{""WHATISTHEANIMALSDOING"":[""WALKING""],""HOWMANYANIMALSDOYOUSEE"":""1""},""filters"":{}}]},{""task"":""T2"",""task_label"":""What are the weather conditions in this image?"",""value"":""Clear""}]","{""4594387"":{""retired"":{""id"":3029809,""workflow_id"":2276,""classifications_count"":15,""created_at"":""2016-11-25T22:34:15.914Z"",""updated_at"":""2017-05-28T11:08:01.801Z"",""retired_at"":""2017-05-28T11:08:01.751Z"",""subject_id"":4594387,""retirement_reason"":""classification_count""},""id"":""165"",""image1"":""W16_SRE6_IMG_0493B.JPG"",""image2"":""W16_SRE6_IMG_0494B.JPG"",""image3"":""W16_SRE6_IMG_0495B.JPG"",""gis_subject_id"":[""{5B9B8CE9-ED1C-4C78-8D8D-BFF1EDC3C2FC}"",null]}}",4594387
24269465,"tifcarey",1546648,"fae3dd3790b2cea9cd16",2276,"Initial Workflow",463.55,"2017-01-06 20:41:15 UTC","","","{""session"":""596da34382beb36ad93f8c619fab1f2950d992d628d5162ce1987a83fc4e4904"",""viewport"":{""width"":1920,""height"":950},""started_at"":""2017-01-06T20:41:06.737Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2017-01-06T20:41:15.659Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":800,""clientHeight"":600,""naturalWidth"":800,""naturalHeight"":600},{""clientWidth"":800,""clientHeight"":600,""naturalWidth"":800,""naturalHeight"":600},{""clientWidth"":800,""clientHeight"":600,""naturalWidth"":800,""naturalHeight"":600}]}","[{""task"":""T3"",""value"":[{""choice"":""DEER"",""answers"":{""HOWMANYANIMALSDOYOUSEE"":""1""},""filters"":{}}]},{""task"":""T2"",""task_label"":""What are the weather conditions in this image?"",""value"":""Clear""}]","{""4599068"":{""retired"":{""id"":3008394,""workflow_id"":2276,""classifications_count"":15,""created_at"":""2016-11-23T15:06:55.706Z"",""updated_at"":""2017-03-20T10:47:17.041Z"",""retired_at"":""2017-03-20T10:47:17.025Z"",""subject_id"":4599068,""retirement_reason"":""classification_count""},""id"":""74"",""image1"":""W16_SRE10_IMG_0220B.JPG"",""image2"":""W16_SRE10_IMG_0221B.JPG"",""image3"":""W16_SRE10_IMG_0222B.JPG"",""gis_subject_id"":[""{84163A49-8FB4-40C4-84E0-A38AEF9A8243}"",null]}}",4599068
