subject_id,project_id,workflow_ids,subject_set_id,metadata,locations,classifications_by_workflow,retired_in_workflow
1977263,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_0.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_0.jpeg"",""center_lat"":""-0.4876585999414871"",""center_lon"":""-80.52271467351193"",""upper_left_lat"":""-0.479524151056729"",""upper_left_lon"":""-80.53079514475611"",""bottom_left_lat"":""-0.495794192296028"",""bottom_left_lon"":""-80.53079401826881"",""upper_right_lat"":""-0.4795230168687642"",""upper_right_lon"":""-80.51463534814957"",""bottom_right_lat"":""-0.4957930196237561"",""bottom_right_lon"":""-80.51463418286876""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/083c9ccf-b5cb-486f-9ed9-eb6d235ef93c.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/a1e47f83-a704-49aa-a1d1-c96ed04875fb.jpeg""}",null,[]
1977264,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_2.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_2.jpeg"",""center_lat"":""-0.5039286217019953"",""center_lon"":""-80.52271350851008"",""upper_left_lat"":""-0.495794192296028"",""upper_left_lon"":""-80.53079401826881"",""bottom_left_lat"":""-0.512064232729815"",""bottom_left_lon"":""-80.53079285419315"",""upper_right_lat"":""-0.4957930196237561"",""upper_right_lon"":""-80.51463418286876"",""bottom_right_lat"":""-0.5120630215730566"",""bottom_right_lon"":""-80.51463297870518""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/08109760-fcf1-4af1-93ab-b39b7cd94af1.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/12868cd8-a9b0-44fb-93a6-dbb8a91380d8.jpeg""}",null,[]
1977265,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_4.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_4.jpeg"",""center_lat"":""-0.5201986426436853"",""center_lon"":""-80.52271230527245"",""upper_left_lat"":""-0.512064232729815"",""upper_left_lon"":""-80.53079285419315"",""bottom_left_lat"":""-0.5283342723316589"",""bottom_left_lon"":""-80.53079165252869"",""upper_right_lat"":""-0.5120630215730566"",""upper_right_lon"":""-80.51463297870518"",""bottom_right_lat"":""-0.5283330226902282"",""bottom_right_lon"":""-80.5146317356583""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/17a26fbb-6182-40ed-963a-d2df5dfe59ad.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/dfbfce72-eef7-49b4-96f8-4e12d1982db7.jpeg""}",null,[]
1977266,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_6.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_6.jpeg"",""center_lat"":""-0.5364686627401235"",""center_lon"":""-80.52271106379851"",""upper_left_lat"":""-0.5283342723316589"",""upper_left_lon"":""-80.53079165252869"",""bottom_left_lat"":""-0.544604311075129"",""bottom_left_lon"":""-80.53079041327494"",""upper_right_lat"":""-0.5283330226902282"",""upper_right_lon"":""-80.5146317356583"",""bottom_right_lat"":""-0.5446030229488347"",""bottom_right_lon"":""-80.51463045372768""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/4cc30f85-f601-45f3-8454-e97114fd3f8b.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/decfb13b-c5d8-4a00-85e2-22ee9f36142f.jpeg""}",null,[]
1977267,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_8.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_8.jpeg"",""center_lat"":""-0.5527386819648762"",""center_lon"":""-80.52270978408781"",""upper_left_lat"":""-0.544604311075129"",""upper_left_lon"":""-80.53079041327494"",""bottom_left_lat"":""-0.5608743489337946"",""bottom_left_lon"":""-80.53078913643142"",""upper_right_lat"":""-0.5446030229488347"",""upper_right_lon"":""-80.51463045372768"",""bottom_right_lat"":""-0.5608730223224394"",""bottom_right_lon"":""-80.51462913291276""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/488326f2-85e7-4c8f-8160-81199a947e07.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/63bb6f5d-11cf-49f6-b5b4-aafb1cac5770.jpeg""}",null,[]
1977268,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_10.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_10.jpeg"",""center_lat"":""-0.5690087002915101"",""center_lon"":""-80.5227084661398"",""upper_left_lat"":""-0.5608743489337946"",""upper_left_lon"":""-80.53078913643142"",""bottom_left_lat"":""-0.5771443858812259"",""bottom_left_lon"":""-80.53078782199759"",""upper_right_lat"":""-0.5608730223224394"",""upper_right_lon"":""-80.51462913291276"",""bottom_right_lat"":""-0.5771430207846066"",""bottom_right_lon"":""-80.51462777321302""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/61a8c823-e096-4b10-a28c-a434d5d95ead.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/bd30eaa0-9c5c-4802-9991-e54329e38768.jpeg""}",null,[]
1977269,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_12.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_12.jpeg"",""center_lat"":""-0.5852787176935926"",""center_lon"":""-80.522707109954"",""upper_left_lat"":""-0.5771443858812259"",""upper_left_lon"":""-80.53078782199759"",""bottom_left_lat"":""-0.593414421890993"",""bottom_left_lon"":""-80.53078646997297"",""upper_right_lat"":""-0.5771430207846066"",""upper_right_lon"":""-80.51462777321302"",""bottom_right_lat"":""-0.5934130183089005"",""bottom_right_lon"":""-80.51462637462795""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/e46b2d09-82f4-43c2-ba65-a894cdeeef91.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/065ec6c6-512c-49ee-9bbc-a09578cdf4b1.jpeg""}",null,[]
1977270,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_14.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_14.jpeg"",""center_lat"":""-0.6015487341446909"",""center_lon"":""-80.52270571552984"",""upper_left_lat"":""-0.593414421890993"",""upper_left_lon"":""-80.53078646997297"",""bottom_left_lat"":""-0.6096844569366663"",""bottom_left_lon"":""-80.53078508035699"",""upper_right_lat"":""-0.5934130183089005"",""upper_right_lon"":""-80.51462637462795"",""bottom_right_lat"":""-0.6096830148688854"",""bottom_right_lon"":""-80.51462493715698""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/84d8fd62-428a-4ef8-bf56-7375daef8ee8.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/046af27e-d14e-4811-beca-95d3c1134919.jpeg""}",null,[]
1977271,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_16.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_16.jpeg"",""center_lat"":""-0.6178187496183726"",""center_lon"":""-80.52270428286675"",""upper_left_lat"":""-0.6096844569366663"",""upper_left_lon"":""-80.53078508035699"",""bottom_left_lat"":""-0.6259544909918167"",""bottom_left_lon"":""-80.5307836531491"",""upper_right_lat"":""-0.6096830148688854"",""upper_right_lon"":""-80.51462493715698"",""bottom_right_lat"":""-0.6259530104381265"",""bottom_right_lon"":""-80.51462346079951""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/a4dbd820-e058-4c94-a859-b869385ab8fe.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/b82386d6-5f98-496e-a0f4-303f29d4d08f.jpeg""}",null,[]
1977272,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_18.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_18.jpeg"",""center_lat"":""-0.6340887640882058"",""center_lon"":""-80.5227028119642"",""upper_left_lat"":""-0.6259544909918167"",""upper_left_lon"":""-80.5307836531491"",""bottom_left_lat"":""-0.642224524030015"",""bottom_left_lon"":""-80.53078218834874"",""upper_right_lat"":""-0.6259530104381265"",""upper_right_lon"":""-80.51462346079951"",""bottom_right_lat"":""-0.6422230049901888"",""bottom_right_lon"":""-80.51462194555499""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/82839adf-6926-4001-90e4-bb5f64f3c5be.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/413ff244-277f-4c18-b47c-17ab6b92cb2d.jpeg""}",null,[]
