line_number,subject_ids,workflow_id,workflow_version,classification_id,created_at,horz_line,vert_line,bezier,polygon
38,1910619,4759,67.88,67598542,2017-08-20 01:54:12 UTC,[],[],[],[]
39,1910610,4759,67.88,67598725,2017-08-20 01:55:43 UTC,[],[],[],[]
40,1910617,4759,67.88,67598848,2017-08-20 01:57:00 UTC,[],[],[],[]
41,1910618,4759,67.88,67598943,2017-08-20 01:57:55 UTC,[],[],[],[]
42,1910620,4759,67.88,67599025,2017-08-20 01:58:47 UTC,[],[],[],[]
43,1910612,4759,67.88,67599052,2017-08-20 01:59:03 UTC,[],[],[],[]
44,1910616,4759,67.88,67599080,2017-08-20 01:59:20 UTC,[],[],[],[]
45,1910609,4759,67.88,67599235,2017-08-20 02:00:33 UTC,[],[],[],[]
46,1910608,4759,67.88,67599381,2017-08-20 02:01:49 UTC,[],[],[],[]
47,1910613,4759,109.125,68327452,2017-08-26 15:40:31 UTC,"[[144.0, ""HL"", []]]","[[599.0, ""VL"", []]]",[],"[[[[48.0, 326.0], [245.0, 364.0], [272.0, 473.0], [194.0, 498.0]], 1, ""G"", []], [[[488.0, 175.0], [706.0, 185.0], [710.0, 282.0]], 0, ""G"", []], [[[632.0, 336.0], [754.0, 384.0], [726.0, 447.0], [661.0, 468.0]], 0, ""G"", []], [[[134.0, 54.0], [291.0, 77.0], [287.0, 227.0], [157.0, 227.0], [33.0, 95.0]], 0, ""G"", []], [[[375.0, 273.0], [513.0, 273.0], [534.0, 372.0], [462.0, 408.0], [372.0, 357.0]], 1, ""G"", []]]"
48,1910611,4759,109.125,68327644,2017-08-26 15:43:36 UTC,[],"[[242.0, ""VL"", []]]","[[[[416.0, 76.0], [324.0, 416.0], [672.0, 259.0]], 0, ""B"", []], [[[77.0, 162.0], [231.0, 112.0], [171.0, 445.0]], 0, ""B"", []]]",[]
49,1910619,4759,109.125,68327792,2017-08-26 15:46:18 UTC,[],"[[309.0, ""VL"", []]]","[[[[465.0, 77.0], [763.0, 50.0], [743.0, 236.0], [711.0, 466.0], [469.0, 213.0], [364.0, 96.0]], 1, ""B"", []]]",[]
50,1910618,4759,109.125,68327990,2017-08-26 15:49:20 UTC,[],[],"[[[[481.0, 263.0], [464.0, 24.0], [705.0, 121.0]], 0, ""B"", []]]",[]
51,1910620,4759,109.125,68328181,2017-08-26 15:53:03 UTC,[],"[[354.0, ""VL"", []]]","[[[[89.0, 146.0], [202.0, 129.0], [247.0, 188.0], [134.0, 186.0], [163.0, 366.0], [252.0, 207.0]], 1, ""B"", []]]",[]
52,1910612,4759,109.125,68328395,2017-08-26 15:57:19 UTC,[],[],[],[]
53,1910617,4759,109.125,68328455,2017-08-26 15:58:34 UTC,[],[],"[[[[96.0, 76.0], [172.0, 450.0], [523.0, 181.0]], 1, ""B"", []]]",[]
54,1910615,4759,109.125,68328507,2017-08-26 15:59:27 UTC,[],"[[632.0, ""VL"", []]]",[],"[[[[289.0, 121.0], [490.0, 142.0], [486.0, 299.0], [295.0, 359.0]], 0, ""G"", []]]"
55,1910616,4759,109.125,68328567,2017-08-26 16:00:30 UTC,[],[],"[[[[234.0, 79.0], [428.0, 150.0], [618.0, 83.0], [491.0, 157.0], [555.0, 303.0], [454.0, 143.0]], 1, ""B"", []]]",[]
