"","subject_ids","user_name","classification_id","workflow_version","task_index","task","task_label","value","total_submissions","submission_index","choice","how_many","young","behavior_EATING","behavior_INTERACTING","behavior_MOVING","behavior_RESTING","behavior_STANDING","empty"
"1",10432740,"aliburchard",60494559,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"2",10433790,"aliburchard",60494579,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"3",10434634,"aliburchard",60494585,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"4",10319862,"aliburchard",60494676,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"5",10432175,"aliburchard",60494680,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"6",10433622,"aliburchard",60494683,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"7",10433826,"aliburchard",60494687,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"8",10434755,"aliburchard",60494691,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"9",10460938,"aliburchard",60494699,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"10",10463701,"aliburchard",60494704,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"11",10465287,"aliburchard",60494722,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""MOVING"")), filters = list()))",1,1,"ZEBRA","1",NA,0,0,1,0,0,NA
"12",10476603,"aliburchard",60494732,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"13",10477354,"aliburchard",60494737,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"14",10318342,"aliburchard",60494740,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"15",10431224,"aliburchard",60494746,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"16",10433536,"aliburchard",60494750,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"17",10435224,"aliburchard",60494751,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"18",10454323,"aliburchard",60494759,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"19",10458195,"aliburchard",60494764,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"20",10454740,"Steven_D_Mullis",60494829,307.77,1,"T3",NA,"list(list(choice = ""ELEPHANT"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ELEPHANT","1","NO",0,0,1,0,1,NA
"21",10455546,"Steven_D_Mullis",60494899,307.77,1,"T3",NA,"list(list(choice = ""ELEPHANT"", answers = list(HOWMANY = ""4"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING""), ARETHEREANYYOUNGPRESENT = ""YES""), filters = list()))",1,1,"ELEPHANT","4","YES",0,0,1,0,1,NA
"22",10455894,"Steven_D_Mullis",60494915,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"23",10456187,"Steven_D_Mullis",60494917,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"24",10456845,"Steven_D_Mullis",60494944,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""2"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""EATING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ZEBRA","2","NO",1,0,1,0,1,NA
"25",10460291,"Steven_D_Mullis",60494948,307.77,1,"T3",NA,"list()",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nothing Here"
"26",10464857,"Steven_D_Mullis",60494993,307.77,1,"T3",NA,"list(list(choice = ""ZEBRA"", answers = list(HOWMANY = ""5"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""EATING"", ""INTERACTING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"ZEBRA","5","NO",1,1,1,0,1,NA
"27",10465889,"Steven_D_Mullis",60495032,307.77,1,"T3",NA,"list(list(choice = ""IMPALA"", answers = list(HOWMANY = ""3"", WHATBEHAVIORSDOYOUSEE = list(""STANDING"", ""MOVING"", ""INTERACTING""), ARETHEREANYYOUNGPRESENT = ""NO""), filters = list()))",1,1,"IMPALA","3","NO",0,1,1,0,1,NA
